BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,2,4,dropout,1,,,,Quad,0.381796473795587,0.204261621321366
1,2,4,dropout,1,,,,Shell,0.374747531578294,0.193844292814085
1,2,4,dropout,1,,,,Winsor,0.381455414098389,0.202564897620286
1,3,4,dropout,1,,,,Ball,0.363320364547114,0.191932834439689
1,3,4,dropout,1,,,,K's tau,0.372462652946111,0.200875734045379
1,3,4,dropout,1,,,,LR,0.362379740505264,0.190187058628035
1,3,4,dropout,1,,,,PCA,0.357003398865901,0.189731056989964
1,3,4,dropout,1,,,,PCP,0.357682479814338,0.193453902436721
1,3,4,dropout,1,,,,PcaGrid,0.00268754243413273,0.00158066014857276
1,3,4,dropout,1,,,,PcaHubert,0.343850608811432,0.183608059289749
1,3,4,dropout,1,,,,Quad,0.357377055880865,0.192413045042985
1,3,4,dropout,1,,,,Shell,0.360307935047719,0.191888010692344
1,3,4,dropout,1,,,,Winsor,0.355808763745406,0.188654753080902
1,4,4,dropout,1,,,,Ball,0.359385879775869,0.193461326244041
1,4,4,dropout,1,,,,K's tau,0.36399003058481,0.189979559242654
1,4,4,dropout,1,,,,LR,0.355764301441433,0.188476194080329
